pr_gene_id,A375,A549,BT20,HCT116,HS578T,HT29,LOVO,MCF7,MDAMB231,PC3,RKO,SKBR3,SKMEL28,SW620,SW948,VCAP
9813,-0.25614998,-0.3262,0.4138081,-0.2835,0.1109,-0.3343,0.5544,0.4474544,0.1536,0.11231448,-1.5187,0.4268,2.025,-0.6365155,-0.20984009,-0.1426
7485,0.1817,-0.6285,-0.7748044,-0.28395,0.15695,-0.4344,-0.0931,-0.03915306,-1.0829,0.33116302,1.2975,-1.1513,-1.2085,-0.19995579,0.39932877,-0.6115
2109,-0.3459,-0.5191,0.061069757,0.38794997,-0.75474995,0.3317,-0.3163,-0.6704383,0.0246,0.96892667,1.4905,-0.8078,0.8115,-0.53644395,0.4249438,-1.1037
23271,-0.12465,0.2047,0.8573526,0.5849,1.8777001,-0.7851,0.8167,1.1647599,-0.4434,0.04721807,-0.1937,0.84705,-0.8104,0.008191213,-0.2885916,0.4612
9915,0.39795,-0.2988,0.32702103,-0.054999977,-0.0003,0.9929,-1.0708,0.05125454,0.59715,-0.05007355,-7.1253,-0.10409999,-1.7147,0.092975825,-0.13809535,-0.0007
9552,0.308,0.6155,-0.30838692,-1.1136,-1.6966001,0.3324,1.0838,0.5152929,-0.45685,-0.1993644,0.2016,-0.5841,0.7421,-1.3616983,0.06273422,1.168
93487,4.69115,-0.7651,-1.0009052,0.4524,1.71925,-0.2845,-1.0646,-0.9029817,0.09799999,-0.53501767,0.323,-0.42214996,-2.6939,-0.22623737,-0.27909252,-1.0414
2956,0.69665,-1.5557,0.31918126,0.79465,0.102199994,-0.9338,-0.1881,1.9951432,1.29715,-0.02388326,0.3736,0.56535,-2.0684,0.061096437,0.7011764,-0.6745
11065,-0.64835,1.8991,0.14314415,0.1354,-0.002100006,0.8159,-0.2278,0.6239776,-0.27295,0.07111774,1.3315,0.004749999,1.2315,0.615698,0.53506655,-0.0883
9653,3.0925,0.4228,-0.06126912,0.85185003,1.1516,-0.2616,0.5958,0.23705131,-0.44120002,2.9935417,-0.2677,-0.49605,0.0339,2.346963,-0.5572541,0.2957
200081,-0.80805,-0.203,0.53749204,-0.099700004,-1.03705,-0.197,0.0815,-0.07844177,0.002750009,-0.4328505,0,-0.28515002,0.6997,-0.3560542,0.60994506,-0.6562
3337,1.9260501,1.3821,0.81077385,0.3739,0.2885,-0.0362,-0.2834,0.4798424,0.64695,0.49503762,0.165,0.28225,-1.4009,-1.4655224,0.1634284,-0.8503
11073,-0.09105001,-0.6745,0.14246458,0.030600004,1.16335,0.4581,1.7847,0.71995014,0.31685,0.5544945,-0.7772,0.53099996,-0.9386,0.3347946,-0.97012806,-0.0612
23,0.62645,0.5152,1.4348773,1.1705,2.37005,-0.8344,0.3486,1.2945178,1.09775,0.30827516,-0.7777,-1.1330999,0.1143,1.4409626,0.39847785,-0.9298
5641,0.56149995,0.8658,0.5119235,0.74595004,-0.26650003,0.1102,-0.6745,0.903658,-0.3118,1.2132442,0.5759,-0.46725,0.311,1.8509682,0.59143144,0.6382
8720,0.72025,-1.3828,-0.1777055,0.47469997,2.3384,1.217,0.3178,0.41803843,0.114199996,-1.2116265,-0.8807,0.435,-1.2788,0.28484648,-0.61158186,0.2592
10782,-0.9816,0.9334,-0.018404476,-1.0106499,1.9014001,-0.4465,0.2895,-1.0828795,1.04655,0.109882,-0.2352,0.5362,0.5138,0.5493808,-0.5975591,0.4527
25932,0.0592,-0.2996,-0.5600723,-0.8221,-1.3088,-0.2257,-1.5073,0.41204542,-0.7093,0.38277987,-0.5477,-0.47335,-2.0518,-0.16475487,-0.15606955,-0.5769
3028,-1.00275,0,-0.5028972,0.30525002,-0.60029995,0.8274,-0.1322,-0.31297892,0.10885,0.51356757,-0.1717,0.20160002,2.9817,0.093841895,0.34961948,0.2124
6804,0.4027,-0.124,0.30636254,-0.43935,0.11385,-0.9516,-0.8589,-1.2233546,-0.34875,-0.31407654,5.9649,-0.0167,0.1111,-0.24526493,0.5717502,0.8886
890,1.1606001,0.3865,-0.6465976,0.04484999,-0.67775,0.3022,0.0435,-1.1692874,0,0.21154127,1.0278,-0.70600003,1.1473,0.34040654,0.63545287,0.4014
6390,0.98375,0.9568,-1.1481587,-0.45374998,-0.7747,0.4878,-0.3606,0.32823604,-0.36455,0.6059326,1.4414,-0.45335,0,-0.15487102,0.5827279,-0.2983
4303,-0.67565,0.1608,0.09957186,0.11005001,0.5554,-0.8966,0.0816,-0.6949819,-0.0624,-0.9696572,0.7549,-0.5693,0.1429,-0.23030376,-0.7854202,-0.8948
10953,-1.00965,0.4899,1.0437611,-0.6691,-3.2024,0.126,-0.5709,0.28610337,0.9192,-0.034328207,0.4346,-0.2439,1.5038,-1.020891,-0.29818058,0.0806
22889,-0.7414,0.1243,0.6915309,-0.034949988,-0.55385,-0.1535,-0.5388,-0.7501162,0.6212,0.24554653,-1.1318,0.73895,-0.6301,0.63787687,-0.3771801,-0.0222
3098,0.16725,-0.256,-0.14683099,-0.28615,-0.36895,0.1649,0.2212,-0.86936665,0.9059,-0.31459084,0.4998,-0.26905,2.0556,-0.02764079,0.5444248,0.1424
11044,0.99944997,0.4523,0.33485588,-0.16735,-0.0013,0.352,0.5323,0.44311064,0.60440004,-0.042723313,-1.6499,0.9792,-0.1546,0.32419115,-1.5514654,-0.0007
8985,0.6853,-0.7796,1.198628,0.046249986,-0.6165,-0.6851,0.4128,-0.17171106,0.44044998,-1.0231918,0.0694,0.19599998,-0.2756,0.7486452,0.90144765,0.4489
66008,0.62165,-0.1207,-0.32847106,0.33585,-0.40375,-0.558,0.1628,-1.0462132,0.25355002,0.73201376,0.963,-0.83765,1.3122,0.3035206,0.08498573,1.4374
9217,0.61785,0.2085,-0.8801751,0.0954,0.8039,-0.0559,-1.6457,0.23558135,-0.55505,0.18973154,1.9281,-0.2673,0.7123,0.47997135,0.6051024,0.1049
701,1.4458499,-0.4073,-0.61073184,0.30604997,0.8132,0.0378,1.0325,0.46455133,-0.393,0.069815405,-1.5874,0.75175,-0.5487,0.12894732,-0.32089782,-0.0013
6182,-0.38725,0.6745,-0.050884753,0.33735,-1.2516999,0.2329,-0.3035,-0.48635113,-0.31865004,0.7340092,1.3146,0.1159,1.0988,-0.043499205,1.168025,-0.002
4860,-0.76035,-0.1375,0.27071637,0.010500014,-0.364,-8.9373,0.1474,0.20520766,0.64965,-0.1794754,0.6745,-0.9415,-0.2805,-0.017925628,0.3675329,0.1206
7398,-0.4059,-0.9161,-0.83420587,-0.0423,2.1092,0.0925,-0.1872,-0.57298636,-0.5586,0.045646217,1.5475,-0.53685,-1.8874,-0.94207716,0.6804697,-1.0709
6117,-0.22604999,-0.5253,-1.0530789,0.21709998,-0.6163,-0.8808,-0.0241,-0.042845283,0.19765,0.13243333,1.216,-0.85835,-1.216,0.5971337,1.025626,-0.5085
23588,-0.24685,0.5271,-0.29329044,0.99445003,0.46605,0.4657,-0.981,-0.5759644,-0.2579,0.33739915,-0.5847,0.045700014,-3.4784,0.6676072,0.17110738,-0.2372
949,0.19624999,-0.8075,0.20085518,-0.26615,-0.018949986,-0.6134,0.1431,-0.37724277,-1.2627,0.06567497,1.3543,0.4409,1.9584,1.0849267,1.4003941,0.3871
7168,0.29215002,0.8286,0.2069433,-0.05495,-0.11735,-0.8556,-0.1977,0.15007627,0.7542,0.5442246,0,1.10535,0.6372,0.20081022,0.85791355,-0.0746
9375,-0.24140003,-0.9429,-0.13654295,0.09169999,0.63794994,-0.338,-0.2262,0.16460684,-0.48240003,-0.7554427,1.2201,-0.5217,-0.7378,-0.76419765,-0.1431576,0.5802
4927,-0.2322,-0.1623,0.23619492,-0.7274,-0.08659999,-0.3303,-0.0901,0.21005571,0.43414998,-0.06459704,1.2478,-0.42610002,1.309,0.65371126,0.7715707,0.386
2523,0.8725,-0.2911,-0.38846147,-0.3233,-0.5454,-0.411,0.0859,0.25057533,0.15945,0.3529582,-1.3559,0.8062,-0.833,0.014982492,-0.6818907,-1.1349
58497,0.29010004,0.323,-0.7032596,-0.51635003,1.3592,-0.3478,1.0827,-0.87709713,0.2468,0.15712707,-0.1373,-1.416,1.2717,0.7354623,-0.045510918,0.0545
6856,-1.0671,0.5312,-0.3805153,0.05535,-0.39085,-0.514,-0.3228,0.27975905,0.3856,0.6227405,1.7395,0.41415,-0.7628,0.584728,0.69029385,-0.6952
26036,-1.2279,-0.3095,-0.4458853,-0.37715,-1.2392501,-0.5336,-1.1739,-0.80918777,-0.3666,0.37371218,0.4944,-0.94835,-0.0542,0.98545957,0.40494785,0.0168
10206,-0.6422,-0.6864,0.45008227,0.2875,0.24745001,-0.3527,1.1326,-0.39209044,0.003149986,-0.7026094,-1.3613,-0.9516,-1.2337,1.1647841,-0.16936317,0.264
25793,-0.5547,-1.774,1.1135049,-0.0013,-0.87264997,-0.2119,0.2379,0.5394809,0.74845004,0.34094885,0.0738,-0.63575006,1.4836,-0.19312419,0.10438924,0.5049
55556,-1.11275,-0.5625,-0.43458375,-0.71275,-0.17575,-1.8916,-0.6196,-0.2827553,-1.07285,0.06847139,-0.0419,-2.94765,0.3196,0.21412617,-0.12245965,-0.8047
3978,0.13435,-0.1241,0.5929975,-0.2394,-1.13925,0.0109,-0.5251,-0.87662697,-0.86225003,0.46756372,-2.489,0.18225001,2.7531,0.37027967,0.78842413,0.0775
10681,-0.83265,-0.9255,-0.019993752,0.50595003,-1.0984,-1.0603,-0.6788,-1.348927,0.58940005,0.036118846,-0.1185,0.06565,0.6448,1.044395,-0.4369635,0.7453
3638,0.10800001,0.1729,0.27024126,-0.29765,0.5198,0.1635,-0.2911,-0.35252935,-0.8207,0.2852661,-0.0315,0.21835001,-0.5105,-1.4142739,-2.7237206,-0.984
8349,-0.17545,0.4962,0.32153916,0.22549999,2.01965,0.1165,1.248,0.7963451,-0.459,0.67787045,-1.5578,0.52500004,-0.0551,0.37526435,-0.38766372,0.5109
6275,0.5603,1.0812,-0.042915173,0.1786,0.04315,0,-0.2672,0.06227438,-0.2263,-1.7821207,-0.579,0.5427,0.6243,0.64922035,-0.06535152,0.7542
3895,0.79925,-1.5018,0.007571846,0.25685,0.38775,-0.0275,-0.6535,-0.6715046,0.008399999,0.30529493,-1.8189,2.0728,-2.4742,1.5579543,0.4288145,0.0038
392,-0.6024,-0.449,0.5048024,-0.34600002,-0.5636,-0.5621,0.2964,0.24024914,0.77405,-0.28840137,1.5403,0.71205,3.2183,-0.20399126,-0.76347095,-0.2719
9170,4.9732,0.4106,-0.092398494,-1.4196,1.4845,-0.0487,1.0877,-0.27346727,2.1684499,1.0032368,-2.0672,-0.2406,0.6648,0.3786412,-0.507874,0.5608
80347,0.16239999,0.7515,0.48991525,-0.0167,-0.5625,0.191,0.6401,-0.14192924,0.03705001,0.010974325,1.3143,-0.4208,1.3838,0.03864658,1.0460727,1.1706
23300,-0.25265,0.319,0.015358392,-0.22005,1.06365,-0.593,0.6676,1.0178001,0.023900002,-0.5280782,2.5044,0.1659,-0.8507,-0.98126864,1.0397233,-0.1559
836,0.4628,-0.8285,0.3501815,0.34690002,1.2242,0.0708,-1.1556,0.2141743,0.09445,0.45819002,0.6084,0.7907,-1.8721,1.3820378,0.88729095,1.0525
11188,0.019500017,0.4278,0.11463866,0.0348,0.9562,0.0139,0.3316,-0.7472824,0.7983,-0.9098442,0.6397,1.67205,0.3984,0.55455196,1.0205953,-0.966
10898,-0.7537,0.0841,-0.3141869,0.3789,0.3113,0.343,-2.3915,-1.7422613,-0.1368,-0.32397613,0,0.6477,-0.6025,0.1119805,0.035509214,-0.6745
9276,0.21754998,-0.5861,-1.0815316,-1.1421499,-0.86789995,-0.0587,-0.7206,-0.48059756,-0.157,0.058044624,-2.561,0.79625,1.5478,0.70140326,-0.031695113,-1.5898
1647,-0.6219,0.1905,-0.39481962,0.078150004,-0.7125,0.5231,-0.8717,-1.183071,-0.45225,1.2720985,-3.6384,0.6169,-1.6493,0.04482054,-0.7537228,0.401
10285,0.55235004,-0.1432,0.15114522,0.13445,1.9221501,0.3045,-0.2535,-0.39408302,-0.3868,0.39433855,-7.4365,-0.003699988,-0.6803,0.11761747,-0.3083725,-0.3496
23386,-0.50575,-1.6675,0.43302983,-0.016349971,-0.9162,-0.0283,-0.3269,-0.4490763,1.7802,0.008737877,-0.0666,-1.4975,2.3406,-0.14239654,0.2049881,0.258
3156,0.39844996,-0.9905,-0.1812272,-0.1578,0.9491,-0.7166,0.1021,0.53992844,-0.47545,0.5455841,-0.2411,0.36505,-0.2832,0.40433148,0.24140671,0.3697
10237,-1.15665,0.0851,-0.7420976,-0.5554,-1.6488,-0.3795,-0.4241,-0.2947166,-0.60255,0.2828786,1.1443,-0.64665,2.1152,-0.372016,0.36792713,0.4083
7077,5.20535,0.07,0.5982459,0.40774998,0.35965,0.4536,1.6013,0.55709124,0.8938,0.13154635,-1.1601,-0.012850016,1.4828,0.30241293,-0.7431339,1.5474
